title,description,location,requirements,published,views,replies,english_level,years_of_experience
Middle Python Developer,We are looking for a talented Middle Developer with ETL and database skills.,"Велика,Британія",DEVELOPER,27 грудня 2023,193,12,Pre-Intermediate,2
Computer Vision Algorithms Developer for Visual Intelligence Company,"Full-time, remote, long-term cooperation.","Україна,Польща",,26 грудня 2023,48,2,Upper-Intermediate,5
Senior Python/Django Engineer,Not specified,"Чехія,Нідерланди,Польща,Україна","DJANGO,AWS",21 грудня 2023,163,32,Upper-Intermediate,3
Python Developer,Not specified,Україна,"PYTHON,MICROSERVICES,AWS,CI/CD,GRAPHQL,AGILE",21 грудня 2023,48,5,Upper-Intermediate,3
Senior Python Developer,Project Description:,Україна,"PYTHON,MICROSERVICES,AWS,CI/CD,GRAPHQL,AGILE",21 грудня 2023,23,1,Upper-Intermediate,3
Senior Python Developer,Project Description:,Україна,"PYTHON,MICROSERVICES,AWS,CI/CD,GRAPHQL,AGILE",21 грудня 2023,34,2,Upper-Intermediate,3
Senior Python Developer,Project Description:,Україна,"PYTHON,MICROSERVICES,AWS,CI/CD,GRAPHQL,AGILE",21 грудня 2023,22,2,Upper-Intermediate,5
Python Developer,One of the world's largest providers of products and services to the energy industry has a need to develop and support cloud-based enterprise information system in Oil & Gas domain.,Україна,"PYTHON,MICROSERVICES,AWS,CI/CD,GRAPHQL,AGILE",21 грудня 2023,96,15,Upper-Intermediate,3
Junior Backend Developer (Python + Django),"We are an innovative and dynamic company leader in its field. We firmly believe that our employees are our greatest asset and invest significant resources in their growth and development. Our unique corporate culture emphasizes creativity, teamwork, and a passion for design. By joining our team, you can contribute to projects that shape the future of our business while developing your professional skills in a supportive and encouraging environment.",Україна,"DEVELOPER,PYTHON,DJANGO",22 грудня 2023,783,165,,1
Senior Python Developer,Project Description:,Україна,"PYTHON,MICROSERVICES,AWS,CI/CD,GRAPHQL,AGILE",21 грудня 2023,43,5,Upper-Intermediate,3
Python developer with DevOps experience,We're looking for a motivated,Україна,"GITHUB,PYTHON,CI/CD",22 грудня 2023,142,26,Upper-Intermediate,2
Python Developer/Data Engineer,"Ajax Systems — розробник і виробник систем безпеки Ajax із можливостями розумного дому. Це понад 70 пристроїв, мобільні та десктопні застосунки, серверна інфраструктура. У лінійці Ajax представлено централі керування із власною RTOS (OS Malevich), датчики руху, відчинення, захисту від затоплення та пожежні датчики, вуличні й домашні сирени, тривожна кнопка з функцією керування приладами, розумні розетки та реле.",Україна,"ANDROID,PYTHON,TENSORFLOW,GIT",22 грудня 2023,83,6,,3
Middle/Senior BE engineer with Python knowledge,"We are seeking a seasoned Backend Engineer who possesses a passion for crafting cutting-edge solutions. This role involves contributing to the development of our innovative, startup-like projects leveraging computational science and AI for the automation of construction planning.",Україна,"PYTHON,MYSQL,FAST,C#,DJANGO",23 грудня 2023,54,5,Advanced/Fluent,3
Senior Python Engineer,Description:,Україна,"PYTHON,MYSQL,POSTGRESQL,DJANGO,FLASK",22 грудня 2023,70,5,Intermediate,5
Senior Python Developer for AI Project (Location - Germany only) qp,✅,"Релокейт,Німеччина",PYTHON,22 грудня 2023,91,15,Upper-Intermediate,5
Python Developer/AI Specialist (part - time),📲,Україна,PYTHON,22 грудня 2023,173,29,Upper-Intermediate,5
Senior Python-focused engineer with BE knowledge,"We are seeking a seasoned python-focused engineer who possesses a passion for crafting cutting-edge solutions. This role involves contributing to the development of our innovative, startup-like projects leveraging computational science and AI for the automation of construction planning.",Україна,"MYSQL,FAST,PYTHON,C#",23 грудня 2023,54,0,Advanced/Fluent,5
Senior Python developer for an AI startup,*This is a 100% remote position.,Ізраїль,"DEVELOPER,PYTHON",20 грудня 2023,142,37,Upper-Intermediate,5
Senior Python Developer (Django),"Quintagroup шукає сеніор Python/Django розробників в команди що працюють над створенням продуктів компанії що займається виробництвом та встановленням сонячних панелей. Technology stack: Python, Django.",Україна,"PYTHON,DJANGO,AWS,REST",21 грудня 2023,60,19,Upper-Intermediate,3
Python Developer,"We are seeking a talented and passionate Python Developer to join our dynamic development team. You will play a role in designing and implementing server-side applications, contributing to the integration of user-facing elements, and ensuring the overall performance and responsiveness.","Україна,Обʼєднані,Арабські,Емірати","PYTHON,ANGULAR,REST,DEVELOPER,REACT,JAVASCRIPT,CSS,HTML,GOLANG",20 грудня 2023,729,230,Upper-Intermediate,1
Python (Django) Developer,Not specified,Україна,"PYTHON,REST,MYSQL,FAST,CI/CD,CSS,MONGODB,ELASTICSEARCH,DJANGO",20 грудня 2023,263,81,Intermediate,2
Senior Software Engineer (IoT),Quintagroup is looking for Software Enginee engineer  to join the development team of IoT solutions.,Україна,"PYTHON,DJANGO,GIT",21 грудня 2023,37,2,Intermediate,3
